,StateName,Plan_Shorthand,Year,BenefitsPerPerson
459,Colorado,Colorado Schools,2009,16964.481053644875
460,Colorado,Colorado Schools,2010,16965.539140664856
461,Colorado,Colorado Schools,2011,17100.980343368996
462,Colorado,Colorado Schools,2012,17321.36634964156
463,Colorado,Colorado Schools,2013,17494.812464671882
464,Colorado,Colorado Schools,2014,17492.14972706005
465,Colorado,Colorado Schools,2015,17225.97653711166
466,Colorado,Colorado Schools,2016,17096.075391959526
467,Colorado,Colorado Schools,2017,16987.54359740907
468,Colorado,Colorado Schools,2018,16775.200251845115
469,Colorado,Colorado Schools,2019,16290.494665373424
470,Colorado,Colorado Schools,2020,15414.181638008551
471,Colorado,Colorado Schools,2021,15591.27883000532
472,Colorado,Colorado Schools,2022,15441.876115683155
476,Colorado,Colorado DPS,2001,196744.47887323942
477,Colorado,Colorado DPS,2002,96886.44135657088
478,Colorado,Colorado DPS,2003,67134.70396448797
479,Colorado,Colorado DPS,2004,52799.69544688027
480,Colorado,Colorado DPS,2005,178840.02008456658
481,Colorado,Colorado DPS,2006,170218.2802669209
482,Colorado,Colorado DPS,2007,165481.27248677248
483,Colorado,Colorado DPS,2008,148546.52535957607
484,Colorado,Colorado DPS,2009,151908.83781763827
485,Colorado,Colorado DPS,2010,89471.3987473904
486,Colorado,Colorado DPS,2011,59820.757286842825
487,Colorado,Colorado DPS,2012,44905.31725637478
488,Colorado,Colorado DPS,2013,37745.04792332269
489,Colorado,Colorado DPS,2014,32137.88136702894
490,Colorado,Colorado DPS,2015,27472.30952638994
491,Colorado,Colorado DPS,2016,23955.490429526515
492,Colorado,Colorado DPS,2017,21540.71114662405
493,Colorado,Colorado DPS,2018,19517.84444760415
494,Colorado,Colorado DPS,2019,17815.215989684075
495,Colorado,Colorado DPS,2020,16365.013611078233
496,Colorado,Colorado DPS,2021,15752.531824611033
497,Colorado,Colorado DPS,2022,14376.42001842186
500,Colorado,Colorado State,2000,11793.884125083167
501,Colorado,Colorado State,2001,12207.239286985316
502,Colorado,Colorado State,2002,12367.527172233156
503,Colorado,Colorado State,2003,12907.411115202493
504,Colorado,Colorado State,2004,13534.129259377509
505,Colorado,Colorado State,2005,17447.443717422648
506,Colorado,Colorado State,2006,17109.517094803097
507,Colorado,Colorado State,2007,17311.388709860865
508,Colorado,Colorado State,2008,17615.36675951718
509,Colorado,Colorado State,2009,18106.839142412264
510,Colorado,Colorado State,2010,18338.755000165296
511,Colorado,Colorado State,2011,18332.786134831815
512,Colorado,Colorado State,2012,18376.16477187057
513,Colorado,Colorado State,2013,18554.421916380845
514,Colorado,Colorado State,2014,18588.490167759137
515,Colorado,Colorado State,2015,18604.58521070766
516,Colorado,Colorado State,2016,18644.00436415305
517,Colorado,Colorado State,2017,18742.10475054177
518,Colorado,Colorado State,2018,18607.051955633393
519,Colorado,Colorado State,2019,18345.381344431375
520,Colorado,Colorado State,2020,18096.595925574704
521,Colorado,Colorado State,2021,18181.918611444537
522,Colorado,Colorado State,2022,17381.43588024802
525,Colorado,Colorado Local,2000,1412.8313508587232
526,Colorado,Colorado Local,2001,5670.03367003367
527,Colorado,Colorado Local,2002,6165.075183843705
528,Colorado,Colorado Local,2003,6869.574268762361
529,Colorado,Colorado Local,2004,7265.352325252335
530,Colorado,Colorado Local,2005,7436.734693877551
531,Colorado,Colorado Local,2006,7624.273580688422
532,Colorado,Colorado Local,2007,7852.679481084018
533,Colorado,Colorado Local,2008,8032.103615493217
534,Colorado,Colorado Local,2009,8453.009985734665
535,Colorado,Colorado Local,2010,8995.333003898315
536,Colorado,Colorado Local,2011,9258.80695162048
537,Colorado,Colorado Local,2012,8367.099529746754
538,Colorado,Colorado Local,2013,9322.060982983501
539,Colorado,Colorado Local,2014,9686.952493261455
540,Colorado,Colorado Local,2015,9824.61750182142
541,Colorado,Colorado Local,2016,10010.372796755577
542,Colorado,Colorado Local,2017,10191.168753279857
543,Colorado,Colorado Local,2018,10250.667147493688
544,Colorado,Colorado Local,2019,10184.72591620324
545,Colorado,Colorado Local,2020,10180.450375312761
546,Colorado,Colorado Local,2021,10288.378535076983
547,Colorado,Colorado Local,2022,9989.555901364616
550,Colorado,Colorado Judges,2000,292470.5882352941
551,Colorado,Colorado Judges,2001,314705.8823529412
552,Colorado,Colorado Judges,2002,318055.55555555556
553,Colorado,Colorado Judges,2003,416666.6666666667
